Title,Salary,Link,Vaxx
RESEARCH ANALYST 2,$37.80 - $41.41 an hour,https://ca.indeed.com/rc/clk?jk=be47068b2092bbd7&fccid=f2087b51205d4920&vjs=3,True
"Analyst, Sustainability and Climate (New or Recent Grad)",,https://ca.indeed.com/rc/clk?jk=e2d04acbfd80a749&fccid=3a429036b3725efa&vjs=3,False
"Data Analyst, Summer 2022 Student Opportunities",,https://ca.indeed.com/rc/clk?jk=2565e400c1fe9ba5&fccid=537b899e30af3338&vjs=3,True
Data Analyst NOC-2172,"$6,638 a month",https://ca.indeed.com/company/hbimsw.ca/jobs/Data-Analyst-Noc-0ad56fa53c71d61d?fccid=40dfdaec8d1417f0&vjs=3,False
Data Analyst (Remote in Canada),,https://ca.indeed.com/company/InteraXon/jobs/Data-Analyst-e472f1265629831b?fccid=1fc1efce6d60cd16&vjs=3,False
Data Science Analyst,,https://ca.indeed.com/rc/clk?jk=07c2dedb9972cd0c&fccid=2e16043297423070&vjs=3,True
Data Analyst,$50 - $65 an hour,https://ca.indeed.com/company/www.dawninfotek.com/jobs/Data-Analyst-53e7925a31cf6153?fccid=b92bdfc2ac8613c3&vjs=3,False
Junior Data Analyst,"$45,000 a year",https://ca.indeed.com/company/Delvinia/jobs/Junior-Data-Analyst-fc91e0d3806a3c48?fccid=e1fe1efe2ecb95ed&vjs=3,False
"Data Analyst (Fixed-Term, 12-months)",,https://ca.indeed.com/rc/clk?jk=956402583f4a407a&fccid=13a3479abac5f822&vjs=3,False
Jr. Data Analyst,"$40,000 - $45,000 a year",https://ca.indeed.com/company/Flex-Surveys/jobs/Junior-Data-Analyst-f02ceafddcf92f21?fccid=25edde9d786f2c99&vjs=3,False
Data Analyst IV,,https://ca.indeed.com/rc/clk?jk=ae6990950e671de5&fccid=d7114f1cac8d0711&vjs=3,False
Data Analyst,,https://ca.indeed.com/company/Clutch-Canada/jobs/Data-Analyst-d0b4bb99133f38ec?fccid=5fb79bf1f6da0240&vjs=3,True
Business Analyst/Data Analyst,"$40,200 - $60,200 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BMKRH573ZS2bgBt-42ibO_vwJOlO1miwEQ4j6x9SszcICH7OrsY2K5jmj8-G7_o5FoveJMyiPw-sAyxML3uVV66UnlzZeAxi9PhO7DouRY_wTalj_skO1kmWcvf_87e0jbJGaIqL2oMQqU-UbE2VxUeNhgt3lCiKWLh9wqUDegOr-ajaIiCcsmFeFn83DzFT6xNWDvJcUFV6EBalQOnx3GpkZLqL1yaac6EFFVhSTd6wi24QgH3DhO0nELoqmc9mXvTbHnjJs5clboe94SQrCriXKxdYrmXbiOwE7_y5-lkD4sL7lAy7hy4J7_0RODAweyYqb8AhH-GLBGhy7_6snMWXozy1QRMXzm_noV-pm4JJIb3yLJ8swKkfZDRrvmg8wG_uTzpQg6Gfku1W-29wRDwY7TCvICtQgp_6bIFE-KqmMG8qHL6Qdm3NnxYmhxfosbRZOxTv_6QHaSh7tq7TaFJGZ-PBjW5Dys18O3eSw-0A==&p=0&fvj=1&vjs=3,True
Fraud Detection Analyst (credit cards),,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CAu63qYmF4ruMsyyhkvi8oPoP2sFN7ueC2iu3o-4MDNmzeq_4XpHC_zpjoHss10xn6SG6vQIuOIsQxUaoG_4uQBZN-RY_whDh0vGuOKqVEwR5wrk3bvJYFLrvzuOkmhWP6MH4FfO9i2BoeyB5T1VtxaNLiMpOFq9_mHEOM0RWzYYPag984kL9k4gV5mCSf6vrh_aFlGZRs-TASyPnJ3GuBRvSRP2Cu0qLr9LpVhP-HEwtO6PHK5FgOanneZRPnwXuL73K7YnwQ_WLQgWvRGIDODS0r3jCGah_IgalhvdWXsIapD_nGK_ZT9m3KnELrroRMyA4FEelSidFjdLvwi-5rQEKUkdxufL7zoVOkFyPwCFNSZnYm_glXj4-Qj-huwaee5LkOOpQiBUHI0bYjJn9nSWYExn_8lOSnD-oJo3tjqkXmny5yMsuRW5lbbShTFOeTbj0LMYlbg1FlU9cn9Fywyo8kWP75zRd3G0i-zKhQNsnonm-i_0xbxqXe0ORRHwYEOp-YoqYG2jTtdSaC2DfS1WW7kzjYEuT_DUdwKLL9IzJSRJAYXYbGKoG8KViv3-F_5I2YJNLLZDrghec7tzPj&p=1&fvj=0&vjs=3,False
